"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Panama","PAN","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","247","254","262","271","276","275","271","264","256","249","244","241","241","244","250","261","278","299","322","342","353","355","350","340","325","308","292","280","271","263","256","",
"Peru","PER","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4397","4298","4173","4027","3870","3706","3544","3380","3227","3080","2948","2813","2696","2579","2470","2360","2253","2151","2046","1946","1854","1753","1660","1575","1505","1451","1392","1327","1252","1181","1111","",
"Philippines","PHL","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7165","6965","6776","6621","6520","6474","6478","6517","6579","6647","6723","6786","6871","6983","7126","7300","7442","7619","7797","7941","8006","7942","7819","7719","7696","7742","7815","7908","7985","8021","7999","",
"Palau","PLW","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","2","2","2","2","2","2","2","2","2","2","2","3","3","3","3","3","3","3","3","2","2","2","2","2","2","2","2","2","",
"Papua New Guinea","PNG","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","949","965","981","997","1012","1027","1041","1055","1225","1077","1083","1085","1084","1082","1081","1083","1089","1097","1107","1119","1134","1149","1168","1188","1204","1216","1224","1227","1227","1224","1223","",
"Poland","POL","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1981","2013","2019","2010","1999","1992","1987","1981","1955","1892","1802","1696","1587","1489","1417","1371","1341","1320","1293","1247","1183","1107","1025","938","855","782","725","679","644","620","605","",
"Pre-demographic dividend","PRE","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","155771","157984","162067","169451","170163","173831","178050","178127","179881","181437","182745","183473","184180","185081","185576","186306","186404","187072","189273","190296","193109","196257","200255","204971","209747","213689","216814","219337","221155","223239","224034","",
"Puerto Rico","PRI","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Korea, Dem. People's Rep.","PRK","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3057","3101","3078","2997","2926","2903","2920","2987","3060","3058","2945","2769","2554","2357","2219","2158","2156","2179","2198","2193","2146","2075","1980","1888","1799","1727","1664","1610","1564","1508","1448","",
"Portugal","PRT","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","790","788","762","722","681","645","608","570","528","484","438","392","351","314","283","257","234","215","198","183","169","154","141","131","124","119","117","115","115","115","116","",
"Paraguay","PRY","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","578","581","586","595","606","618","631","645","660","675","687","696","704","710","715","715","715","711","705","698","693","686","680","674","666","655","641","623","603","586","573","",
"West Bank and Gaza","PSE","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","245","233","238","244","250","271","263","269","276","282","288","294","299","304","310","317","326","337","348","356","362","365","366","364","536","358","353","348","383","340","339","",
"Pacific island small states","PSS","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","242","239","239","240","241","243","243","244","243","246","245","243","242","238","235","233","232","228","228","236","224","222","220","216","213","212","211","208","208","207","207","",
"Post-demographic dividend","PST","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48320","47321","47833","46548","44567","42433","40931","39525","38257","37199","36308","35488","34545","33562","32698","31901","30974","29798","28356","26731","25072","24131","22516","21732","21395","21026","20894","20740","20492","20123","19703","",
"French Polynesia","PYF","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Qatar","QAT","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","23","23","22","21","20","22","23","26","28","30","33","35","37","38","41","58","66","64","54","41","55","62","62","56","47","48","47","44","40","35","",
"Romania","ROU","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1441","1335","1296","1301","1316","1315","1295","1245","1168","1074","984","916","920","976","1043","1084","1075","1025","933","811","684","576","511","480","467","461","454","442","426","407","386","",
"Russian Federation","RUS","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11383","12132","13439","14971","15924","17423","15602","15740","16327","16962","17312","17190","16606","15751","14891","14093","13155","11823","10309","8948","7870","6952","6227","5633","5102","4622","4235","3994","3894","3922","4053","",
"Rwanda","RWA","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5152","5372","5553","5698","66046","6151","6246","6224","5944","5411","4760","4131","3567","3112","2751","2464","2210","2003","1845","1726","1655","1609","1581","1559","1524","1469","1393","1300","1201","1117","1060","",
"South Asia","SAS","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","251443","254497","243904","241245","239424","238393","237793","237538","237037","236303","235176","233119","231202","228628","228747","230440","222016","219266","215724","211344","206320","200919","195720","190963","186482","182946","177600","172885","168134","163569","159338","",
"Saudi Arabia","SAU","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2187","2168","2180","2236","2316","2419","2525","2574","2569","2524","2480","2543","2614","2690","2754","2805","2883","2931","2960","2957","2931","2841","2715","2582","2443","2319","2263","2198","2135","2062","1997","",
"Sudan","SDN","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8427","8628","8838","9047","9230","9373","9450","9490","9505","9493","9467","9412","9344","9291","9261","9267","9250","9273","10306","9420","9517","9620","9720","9819","9911","9984","10029","10068","10108","10144","10150","",
"Senegal","SEN","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2000","2057","2112","2171","2234","2298","2352","2415","2481","2543","2602","2632","2654","2669","2680","2689","2672","2653","2628","2605","2582","2548","2521","2497","2483","2471","2457","2448","2444","2439","2449","",
"Singapore","SGP","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","122","109","100","94","90","86","84","83","84","86","88","87","85","83","82","81","78","77","79","81","83","80","77","74","73","72","68","63","57","52","48","",
"Solomon Islands","SLB","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45","46","47","47","48","48","48","48","48","49","49","49","50","51","51","52","53","53","54","54","54","55","56","57","57","58","58","58","59","59","59","",
"Sierra Leone","SLE","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2452","2426","2379","2329","2274","2452","2188","2136","2100","2123","2193","2299","2447","2624","2793","2947","3040","3107","3145","3168","3188","3205","3241","3296","3342","3365","3340","3288","3231","3191","3173","",
"El Salvador","SLV","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1177","900","858","865","912","965","987","966","918","861","810","775","763","779","823","880","926","956","974","978","967","937","920","950","1034","1108","1090","976","813","652","529","",
"San Marino","SMR","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Somalia","SOM","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3595","3527","3461","3418","3403","3418","3463","3542","3648","3775","3919","4065","4235","4424","4621","4819","4998","5155","5284","5409","5552","5675","5806","5944","6482","6173","6228","6246","6247","6266","6300","",
"Serbia","SRB","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","434","506","512","459","404","375","369","390","417","416","375","331","302","290","289","292","291","277","255","231","211","196","186","179","171","163","158","158","160","161","160","",
"Sub-Saharan Africa (excluding high income)","SSA","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","197757","198823","204306","212846","274836","219577","225005","226239","228808","233295","231859","231783","231633","231636","231233","231049","230048","229466","230238","229722","230840","231986","233919","236234","239090","241086","242632","244077","245094","246254","246727","",
"South Sudan","SSD","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3429","3323","3201","3081","2981","2907","2882","2891","2919","2956","2993","3019","3050","3088","3132","3178","3235","3295","3349","3392","3422","3427","3450","3501","3563","3619","3647","3656","3661","3678","3717","",
"Sub-Saharan Africa","SSF","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","197761","198828","204311","212851","274841","219582","225010","226244","228814","233301","231865","231789","231639","231642","231239","231054","230053","229471","230243","229728","230846","231992","233925","236240","239096","241093","242639","244084","245101","246261","246734","",
"Small states","SST","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4582","4632","4673","4722","4774","4849","4919","5061","5195","5221","5180","5190","5177","5150","5120","5069","5037","4992","4934","4876","4786","4753","4717","4680","4650","4630","4628","4597","4568","4520","4440","",
"Sao Tome and Principe","STP","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","26","26","28","28","29","29","29","28","28","27","27","27","27","27","27","26","26","26","26","26","27","28","28","29","29","29","29","30","30","30","",
"Suriname","SUR","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","50","49","47","45","42","41","40","40","40","40","40","40","41","41","42","43","44","45","46","46","46","45","45","45","45","45","46","48","49","50","",
"Slovak Republic","SVK","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","251","254","256","257","255","251","245","237","227","218","209","200","193","186","179","172","166","159","153","146","139","132","125","118","111","106","101","98","96","94","93","",
"Slovenia","SVN","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96","97","98","100","100","99","96","93","88","84","80","75","71","67","63","58","53","48","44","39","36","33","31","29","28","26","25","24","23","21","21","",
"Sweden","SWE","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","257","233","211","193","178","168","162","160","161","163","167","173","179","184","187","188","188","187","185","180","173","163","151","137","126","119","117","119","123","128","132","",
"Eswatini","SWZ","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","219","218","217","216","217","220","224","230","238","244","249","246","242","238","236","237","237","238","242","246","250","250","250","248","245","243","238","233","228","225","224","",
"Sint Maarten (Dutch part)","SXM","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Seychelles","SYC","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","5","5","5","5","5","5","5","6","6","6","6","6","6","6","5","5","5","5","6","6","6","6","6","6","7","7","7","7","7","7","",
"Syrian Arab Republic","SYR","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2419","2393","2360","2310","2239","2147","2031","1893","1736","1571","1410","1270","1169","1111","1103","1141","1203","1252","1279","1290","1290","1520","4163","5325","5306","4209","3679","3022","2192","1515","1299","",
"Turks and Caicos Islands","TCA","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chad","TCD","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3486","3020","3116","3211","3304","3401","3488","3582","3678","3776","3874","3963","4059","4155","4257","4367","4475","4598","4734","4868","5017","5146","5282","5434","5557","5649","5706","5746","5779","5791","5826","",
"East Asia & Pacific (IDA & IBRD countries)","TEA","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","201116","191133","181082","171482","163104","156002","149851","144339","140405","137667","136476","135659","135994","136114","145431","130701","124500","116875","115313","101851","96102","91524","87738","84655","81993","79567","77465","75308","73173","71012","68898","",
"Europe & Central Asia (IDA & IBRD countries)","TEC","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36737","37852","41791","43944","43460","43482","40045","39461","39266","40394","38627","37547","36002","34248","32701","31380","29932","27918","25642","23363","21523","19820","18418","17288","16502","15596","15029","14121","13554","13174","13274","",
"Togo","TGO","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","997","1027","1061","1103","1151","1206","1262","1324","1379","1428","1468","1494","1511","1517","1518","1510","1494","1470","1444","1415","1391","1364","1343","1327","1318","1314","1314","1312","1318","1325","1325","",
"Thailand","THA","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8651","9078","9611","10245","10851","11029","10175","8965","7980","7444","7280","7423","7665","7791","7692","7460","7153","6874","6648","6461","6269","6083","5917","5836","5863","5938","5939","5863","5700","5473","5226","",
"Tajikistan","TJK","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","412","459","640","874","927","804","690","653","633","580","557","454","431","425","426","424","413","399","399","429","512","506","408","359","359","379","353","271","195","153","133","",
"Turkmenistan","TKM","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","395","416","440","464","488","509","526","537","544","548","551","558","573","592","611","622","619","603","579","555","533","515","496","476","461","451","444","442","441","439","432","",
"Latin America & the Caribbean (IDA & IBRD countries)","TLA","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53939","53428","53474","53865","54483","55092","55414","55562","56624","56986","56242","56316","55968","55212","54272","53565","53443","54086","55231","56401","75084","57643","57521","57174","56887","56618","55776","54358","52492","50451","48552","",
"Timor-Leste","TLS","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","150","156","161","164","168","173","177","181","182","176","165","149","135","124","116","112","111","114","121","131","147","169","199","240","296","361","421","462","486","496","494","",
"Middle East & North Africa (IDA & IBRD countries)","TMN","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33821","29681","29431","29415","29725","29780","29942","30000","29987","29890","29828","29765","29781","32461","29546","29224","28889","28343","27804","27181","26534","26069","28016","28755","27873","27696","26896","26585","27276","26635","25864","",
"Tonga","TON","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","5","5","5","6","6","6","7","7","8","9","9","9","9","9","9","9","9","9","9","9","8","8","7","7","7","7","7","7","7","7","",
"South Asia (IDA & IBRD)","TSA","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","251443","254497","243904","241245","239424","238393","237793","237538","237037","236303","235176","233119","231202","228628","228747","230440","222016","219266","215724","211344","206320","200919","195720","190963","186482","182946","177600","172885","168134","163569","159338","",
"Sub-Saharan Africa (IDA & IBRD countries)","TSS","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","197761","198828","204311","212851","274841","219582","225010","226244","228814","233301","231865","231789","231639","231642","231239","231054","230053","229471","230243","229728","230846","231992","233925","236240","239096","241093","242639","244084","245101","246261","246734","",
"Trinidad and Tobago","TTO","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93","94","93","94","96","99","103","108","114","119","123","125","126","126","127","128","128","129","126","120","111","103","95","89","85","84","85","86","96","89","89","",
"Tunisia","TUN","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","632","639","649","661","673","683","689","692","692","688","681","672","661","646","627","605","576","547","520","496","475","456","443","434","432","437","448","465","482","489","487","",
"Turkiye","TUR","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10873","10519","10116","9674","9253","9382","8418","7990","7550","8413","6656","6208","5765","5329","4927","4556","4231","3948","3711","3523","3384","3281","3215","3185","3177","3159","3311","3011","2869","2694","2525","",
"Tuvalu","TUV","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","",
"Tanzania","TZA","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7403","8101","8799","9412","9906","10265","10445","10524","10563","10556","10495","10362","10159","9921","9619","9285","8883","8521","8254","8102","8058","8136","8366","8677","9056","9426","9702","9919","10096","10217","10334","",
"Uganda","UGA","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7003","7511","8029","8526","8947","9270","9501","9623","9673","9671","9604","9456","9284","9103","8935","8795","8659","8616","8643","8795","9072","9429","9947","10537","11273","12052","12776","13331","13734","14085","14337","",
"Ukraine","UKR","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3195","3276","3439","3637","3766","3761","3659","3520","3407","3368","3396","3363","3167","2898","2705","2628","2587","2451","2222","1963","1725","1538","1423","1349","1378","1167","1070","997","953","941","958","",
"Upper middle income","UMC","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","223562","214080","208561","201851","194052","188177","179702","174232","170301","169402","167174","166608","166588","165819","163103","157995","151405","143134","134675","127106","121131","116122","112047","109027","106057","103610","101354","98272","95038","91968","89073","",
"Uruguay","URY","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","202","204","209","214","219","222","222","217","208","197","185","174","165","160","158","160","165","173","183","193","201","205","204","199","192","186","181","178","175","173","171","",
"United States","USA","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15778","15586","15460","15359","15234","15010","14588","14120","13770","13598","13566","13646","13778","13921","14036","14032","13732","13256","12626","11904","11202","10665","10291","10131","10199","10377","10583","10675","10596","10345","10009","",
"Uzbekistan","UZB","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1805","1896","1983","2061","2124","2173","2213","2255","2297","2323","2319","2270","2170","2048","1942","1872","1835","1826","1837","1858","1881","1897","1911","1924","1942","1962","1967","1934","1863","1766","1663","",
"St. Vincent and the Grenadines","VCT","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","9","9","9","9","9","9","9","8","8","8","8","7","7","7","7","7","7","7","8","8","8","8","9","9","10","10","11","11","11","11","",
"Venezuela, RB","VEN","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2122","2311","2520","2691","2753","2715","2640","2589","2640","3930","3268","3705","4069","4320","4441","4505","4635","4892","5164","5325","5379","5407","5472","5580","5723","5838","5714","5498","5291","5161","5116","",
"British Virgin Islands","VGB","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Vietnam","VNM","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8884","8639","8384","8139","7921","7731","7563","7436","7363","7314","7273","7269","7252","7222","7169","7119","7042","6961","6840","6649","6363","5995","5575","5128","4726","4409","4159","3980","3848","3752","3661","",
"Vanuatu","VUT","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","18","18","18","18","19","19","20","20","21","21","22","22","22","23","23","24","24","24","24","24","25","26","27","27","27","27","27","28","28","29","",
"World","WLD","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","825435","815888","801882","799242","850185","786410","781045","775051","773001","774371","766988","762123","757660","754557","757436","741137","722878","709100","701969","680504","685535","656234","647927","640750","634092","628231","620002","611748","603857","594701","585664","",
"Samoa","WSM","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37","34","32","30","28","27","25","24","22","21","20","19","19","18","17","17","17","16","16","26","15","15","15","14","14","14","14","14","13","13","13","",
"Kosovo","XKX","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Yemen, Rep.","YEM","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1902","1933","1982","2051","2284","2229","2327","2420","2506","2585","2661","2733","2799","2861","2923","2986","3039","3095","3148","3195","3236","3270","3287","3290","3297","4636","4506","4702","5979","5525","5040","",
"South Africa","ZAF","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6263","6416","6620","6846","7123","7456","7890","8369","8886","9403","9884","10334","10700","10957","11037","10959","10700","10300","9811","9305","8829","8417","8093","7849","7673","7545","7450","7359","7261","7184","7126","",
"Zambia","ZMB","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3468","3617","3763","3898","4008","4094","4148","4175","4182","4177","4166","4109","4064","4016","3969","3932","3869","3819","3786","3774","3779","3783","3791","3811","3844","3872","3897","3930","3957","3971","3985","",
"Zimbabwe","ZWE","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1859","2030","2225","2433","2647","2844","3014","3164","3287","3401","3507","3553","3594","3633","3650","3645","3572","3486","3401","3329","3280","3206","3159","3150","3167","3197","3192","3197","3198","3196","3205","",
