"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"China","CHN","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","128353","118476","108652","99140","90577","83427","78111","73535","70005","67760","66832","66629","67637","68604","68059","65172","60660","54591","47951","41976","37343","33803","31295","29573","28136","26762","25608","24402","23291","22260","21443","",
"Cote d'Ivoire","CIV","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3122","3306","3505","3713","3904","4098","4282","4448","4598","4735","4857","4941","5030","5128","5230","5363","5485","5624","5763","5924","6084","6218","6316","6351","6370","6384","6369","6352","6339","6271","6204","",
"Cameroon","CMR","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3370","3475","3598","3732","3889","4061","4241","4429","4629","4815","4989","5127","5250","5371","5473","5567","5628","5676","5730","5782","5842","5903","5983","6100","6231","6383","6548","6704","6848","6943","6996","",
"Congo, Dem. Rep.","COD","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14616","15024","15486","15987","16483","16974","19372","17718","18116","18595","19138","19655","20202","20760","21387","22055","22761","23681","24741","25903","27109","28311","29531","30599","31390","31992","32499","32863","33246","33718","34088","",
"Congo, Rep.","COG","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1405","1367","1340","1310","1282","1251","1216","1172","1121","1069","1019","971","927","887","854","821","792","765","738","708","680","652","628","607","593","587","584","581","580","801","582","",
"Colombia","COL","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6600","6500","6436","6395","6341","6275","6225","6262","6375","6539","6677","6623","6243","5667","5112","4703","4468","4436","4534","4642","4673","4619","4485","4312","4153","4034","3962","3915","3858","3753","3592","",
"Comoros","COM","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","112","111","110","108","108","107","106","105","104","103","102","99","97","94","91","87","84","80","77","73","71","69","67","66","65","64","63","62","61","60","60","",
"Cabo Verde","CPV","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","27","28","30","32","47","35","37","38","39","39","39","39","39","39","39","39","38","38","37","36","34","32","30","28","26","24","22","21","20","19","",
"Costa Rica","CRI","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","151","157","167","178","191","203","215","226","233","238","239","239","240","240","241","243","247","257","266","263","246","227","214","210","213","222","231","232","224","209","191","",
"Caribbean small states","CSS","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","625","613","598","589","583","582","584","589","595","598","598","597","592","594","596","603","606","614","617","620","615","610","599","592","583","574","560","542","537","530","499","",
